TABLE_NAME,COLUMN_NAME,DATA_TYPE
Agencias,ID,int
Agencias,Nombre,nvarchar
ArchivosOrden,ArchivoID,int
ArchivosOrden,OrdenID,int
ArchivosOrden,NombreArchivo,varchar
ArchivosOrden,Copias,int
ArchivosOrden,Metros,decimal
ArchivosOrden,RutaAlmacenamiento,varchar
ArchivosOrden,TipoArchivo,varchar
ArchivosOrden,FechaSubida,datetime
ArchivosOrden,IdLineaERP,int
ArchivosOrden,IdSubLineaERP,int
ArchivosOrden,CodigoArticulo,varchar
ArchivosOrden,DetalleLinea,nvarchar
ArchivosOrden,MedidaConfirmada,decimal
ArchivosOrden,Ancho,decimal
ArchivosOrden,Alto,decimal
ArchivosOrden,EstadoArchivo,varchar
ArchivosOrden,FechaControl,datetime
ArchivosOrden,Observaciones,nvarchar
ArchivosOrden,UsuarioControl,varchar
ArchivosOrden,UbicacionControl,varchar
ArchivosOrden,Medir,bit
ArchivosOrden,Controlar,bit
ArchivosOrden,RutaLocal,varchar
ArchivosOrden,Controlcopias,int
ArchivosReferencia,RefID,int
ArchivosReferencia,OrdenID,int
ArchivosReferencia,TipoArchivo,nvarchar
ArchivosReferencia,UbicacionStorage,nvarchar
ArchivosReferencia,NombreOriginal,nvarchar
ArchivosReferencia,NotasAdicionales,nvarchar
ArchivosReferencia,FechaSubida,datetime
ArchivosReferencia,UsuarioID,int
Areas,AreaID,varchar
Areas,Nombre,nvarchar
Areas,Categoria,nvarchar
Areas,ui_config,nvarchar
Areas,EsEstandar,bit
Areas,RenderKey,varchar
Areas,UM,nchar
Areas,Requerimientos,bit
Areas,Inicial,bit
Areas,Productiva,bit
Areas,EsProductivo,bit
Areas,TieneLogisticaBultos,bit
Areas,Entrega,nchar
articulos,SupFlia,char
articulos,Grupo,char
articulos,CodStock,char
articulos,CodArticulo,char
articulos,Descripcion,char
articulos,IDProdReact,smallint
articulos,Mostrar,bit
articulos,anchoimprimible,real
articulos,LLEVAPAPEL,bit
Auditoria,IdLog,bigint
Auditoria,IdUsuario,int
Auditoria,Accion,nvarchar
Auditoria,Detalles,nvarchar
Auditoria,DireccionIP,nvarchar
Auditoria,FechaHora,datetime
BitacoraInsumosMaquina,BitacoraID,int
BitacoraInsumosMaquina,SlotID,int
BitacoraInsumosMaquina,EquipoID,int
BitacoraInsumosMaquina,UsuarioID,int
BitacoraInsumosMaquina,FechaRegistro,datetime
BitacoraInsumosMaquina,accion,nvarchar
BitacoraInsumosMaquina,InsumoID,int
BitacoraInsumosMaquina,BobinaID,int
BitacoraInsumosMaquina,Cantidad,decimal
BitacoraInsumosMaquina,Comentario,nvarchar
BitacoraProduccion,BitacoraID,int
BitacoraProduccion,RolloID,varchar
BitacoraProduccion,MaquinaID,int
BitacoraProduccion,FechaInicio,datetime
BitacoraProduccion,FechaFin,datetime
BitacoraProduccion,DuracionMinutos,int
BitacoraProduccion,UsuarioID,int
CalendarioFeriados,Fecha,date
CalendarioFeriados,Descripcion,varchar
Cargos,IdCargo,int
Cargos,Nombre,nvarchar
Cargos,IdArea,varchar
Clientes,CodCliente,int
Clientes,CodReferencia,int
Clientes,Nombre,char
Clientes,NombreFantasia,char
Clientes,DireccionTrabajo,char
Clientes,TelefonoTrabajo,char
Clientes,CioRuc,char
Clientes,Cedula,char
Clientes,IDCliente,varchar
Clientes,Moneda,int
Clientes,Tipo,char
Clientes,Email,char
Clientes,TiposPrecios,smallint
Clientes,CodigoReact,nvarchar
Clientes,IDReact,varchar
Clientes,IDClientePlanilla,varchar
Clientes,CliDireccion,nvarchar
Clientes,Localidad,nvarchar
Clientes,Agencia,nvarchar
Clientes,WebPasswordHash,nvarchar
Clientes,WebActive,bit
Clientes,WebResetPassword,bit
Clientes,WebLastLogin,datetime2
Clientes,DepartamentoID,int
Clientes,LocalidadID,int
Clientes,AgenciaID,int
Clientes,FormaEnvioID,int
Clientes,ESTADO,nvarchar
Clientes,VendedorID,nvarchar
Clientes,FechaRegistro,datetime2
ClientesPlanilla,ID,varchar
ClientesPlanilla,Nombre,varchar
ClientesPlanilla,Cel,varchar
ClientesPlanilla,Gmail,varchar
ClientesPlanilla,Column14,varchar
ClientesReact,CliIdCliente,int
ClientesReact,CliCodigoCliente,varchar
ClientesReact,CliNombreApellido,varchar
ClientesReact,CliCelular,varchar
ClientesReact,CliNombreEmpresa,varchar
ClientesReact,CliDocumento,varchar
ClientesReact,CliLocalidad,varchar
ClientesReact,CliDireccion,varchar
ClientesReact,CliAgencia,varchar
ClientesReact,CliMail,varchar
ClientesReact,TClIdTipoCliente,int
ClientesReact,LReIdLugarRetiro,int
ClientesReact,CliFechaAlta,datetime
ClientesReact,CodClienteMacrosoft,nchar
ClientesReact,IDCllientePlanilla,nchar
ClientesReact,CliCodigoClientePlanilla,nchar
ClientesReact,CliCodigoClienteFantasia,nchar
ComentariosTicket,ComentarioID,int
ComentariosTicket,TicketID,varchar
ComentariosTicket,Usuario,varchar
ComentariosTicket,Comentario,text
ComentariosTicket,FechaHora,datetime
ConfigColumnas,ColumnaID,int
ConfigColumnas,AreaID,varchar
ConfigColumnas,Titulo,nvarchar
ConfigColumnas,ClaveData,nvarchar
ConfigColumnas,Ancho,nvarchar
ConfigColumnas,Orden,int
ConfigColumnas,EsVisible,bit
ConfigColumnas,TieneFiltro,bit
ConfigEquipos,EquipoID,int
ConfigEquipos,AreaID,varchar
ConfigEquipos,Nombre,nvarchar
ConfigEquipos,Activo,bit
ConfigEquipos,Capacidad,int
ConfigEquipos,Velocidad,int
ConfigEquipos,Estado,nvarchar
ConfigEquipos,EstadoProceso,nvarchar
ConfigEquipos,separacionimpresion,nchar
ConfigEstados,EstadoID,int
ConfigEstados,AreaID,varchar
ConfigEstados,Nombre,nvarchar
ConfigEstados,ColorHex,varchar
ConfigEstados,Orden,int
ConfigEstados,EsFinal,bit
ConfigEstados,TipoEstado,nchar
ConfigMapeoERP,CodigoERP,varchar
ConfigMapeoERP,AreaID_Interno,varchar
ConfigMapeoERP,NombreReferencia,nvarchar
ConfigMapeoERP,CodOrden,varchar
ConfigMapeoERP,Numero,smallint
ConfigMapeoERP,IdReact,int
ConfigMapeoERP,VisibleWeb,bit
ConfigMapeoERP,DescripcionWeb,nvarchar
ConfigMapeoERP,ImagenWeb,nvarchar
